family,engine,K,T,grads,rep,contract_ratio,contract_ratio_dbl,dbl_pass,theta_err,theta_err_norm,accept
gmm2,grid,8,1,False,0,0.08147598542400192,0.08147598539874398,True,0.0010699392667991832,0.004356278989900997,1.0
gmm2,grid,8,1,True,0,0.048552965223244426,0.048552965199192395,True,0.00011461218982241444,0.0003605872818808398,1.0
gmm2,grid,8,1,False,1,0.12306307278067807,0.12296307929518666,True,0.01115243946225988,0.01456898432956179,1.0
gmm2,grid,8,1,True,1,0.07829871352660148,0.07828705966566345,True,0.0021296681789925113,0.0074452052985094965,1.0
gmm2,grid,8,1,False,2,0.11666495963837854,0.11664870395277756,True,0.0014722073969673432,0.00453754827710364,1.0
gmm2,grid,8,1,True,2,0.1103912745570961,0.11039030495884418,True,0.0010259733005873292,0.0040273922690218355,1.0
gmm2,grid,8,1,False,3,0.06912641809559229,0.0691264180410696,True,0.0015100112157366238,0.0028873385597057467,1.0
gmm2,grid,8,1,True,3,0.05707060310725248,0.057070603049757675,True,0.0009152300484574124,0.0024967426172795588,1.0
gmm2,grid,8,1,False,4,0.15047321971772518,0.1504732158656098,True,0.003080394465082252,0.00912650862802074,0.875
gmm2,grid,8,1,True,4,0.12709515995903714,0.12709515982456968,True,0.0019284909737812832,0.007244596596559956,0.875
gmm2,grid,8,1,False,5,0.08034269571765416,0.08033115595113649,True,0.0038499578216977053,0.007279018382566379,1.0
gmm2,grid,8,1,True,5,0.052649303306721656,0.05264926291202421,True,0.0012022465841523182,0.0034337516181655522,1.0
gmm2,grid,8,2,False,0,0.28853454941187184,0.28788666852120604,True,0.17239599750183016,0.3283999243440727,1.0
gmm2,grid,8,2,True,0,0.17636163444123293,0.17580789158871404,True,0.04574087721360282,0.18501654546127302,1.0
gmm2,grid,8,2,False,1,0.16872118041286938,0.1681601143574295,True,0.04710076937339326,0.14978680875412453,1.0
gmm2,grid,8,2,True,1,0.09119106094940967,0.09090845286683949,True,0.009908816205186473,0.040312002026877895,1.0
gmm2,grid,8,2,False,2,0.5357639152152613,0.5339980682596587,True,0.18428079102219339,0.45904583411998773,1.0
gmm2,grid,8,2,True,2,0.36520128274548225,0.3645664279139224,True,0.04668432173471389,0.18358432122657797,1.0
gmm2,grid,8,2,False,3,0.20869070429375602,0.20818720398993654,True,0.02243685384531913,0.08884636304130115,1.0
gmm2,grid,8,2,True,3,0.18546588076960993,0.18496235774393827,True,0.02159483940523083,0.08804163248947257,1.0
gmm2,grid,8,2,False,4,0.2988834371501015,0.2982636657800063,True,0.07038431202868772,0.2862187735930633,1.0
gmm2,grid,8,2,True,4,0.2602197935666028,0.2596001798027147,True,0.07005658345354321,0.2859807901323319,1.0
gmm2,grid,8,2,False,5,0.13718237219863574,0.13718202133483287,True,0.0035321730981791076,0.012751711297564963,1.0
gmm2,grid,8,2,True,5,0.12787719932864744,0.12787704553428345,True,0.0030177550692409147,0.011771787437585581,1.0
gmm2,grid,8,5,False,0,0.22560170023818846,0.22552411085589796,True,0.011156446275321481,0.0055901791341131865,1.0
gmm2,grid,8,5,True,0,0.21352994277343026,0.21352540098128844,True,0.0016191132517802207,0.00660379547987097,1.0
gmm2,grid,8,5,False,1,0.5775718381099372,0.5755115236403978,True,0.14092032881612906,0.5743906610165725,1.0
gmm2,grid,8,5,True,1,0.4869374244059713,0.4855434502937422,True,0.10563120923352731,0.42724868279835154,1.0
gmm2,grid,8,5,False,2,0.22009331360841952,0.21976943477515617,True,0.015848029383667868,0.05154051275425816,0.875
