family,K,T,rep,sw2,sw2_dbl,dbl_pass,sw2_baseline
gmm2,8,1,0,0.0030601642997717714,0.0013474676887443634,True,0.002589074490157163
gmm2,8,1,1,0.005238986546666343,0.07406049776819089,False,0.011998813570761432
gmm2,8,1,2,0.05058236361154847,0.044615707324838105,True,0.048906541571426626
gmm2,8,1,3,0.007783318144306381,0.0009596523570175872,True,0.00191221110705276
gmm2,8,1,4,0.002945767013722755,0.0319911185247939,False,0.01593901006446349
gmm2,8,1,5,0.008073391154109686,0.03281698171755198,False,0.05229766730653281
gmm2,32,1,0,0.005903043359179615,0.002372653232940945,True,0.004651715972992829
gmm2,32,1,1,0.017450296710016383,0.022448875078838002,True,0.006751844013028123
gmm2,32,1,2,0.002182860197495394,0.000709497654708704,True,0.0025694487620377096
gmm2,32,1,3,0.04706070379617732,0.00126055580898605,False,0.05147430531677224
gmm2,32,1,4,0.0018132587447919752,0.001236465269838572,True,0.0021587855424111202
gmm2,32,1,5,0.014557691590645166,0.057918678254991265,False,0.030976713148811105
gmm2,128,1,0,0.002281266353185635,0.01172097770335313,True,0.002306024867820799
gmm2,128,1,1,0.04732568620178064,0.014744071747200422,False,0.1396265904586542
gmm2,128,1,2,0.011850441684927448,0.013611009398348656,True,0.04981962982899345
gmm2,128,1,3,0.038850328131966726,0.009201638881889507,False,0.04460652585695445
gmm2,128,1,4,0.010571196821270312,0.03194579270886684,False,0.06634116933650211
gmm2,128,1,5,0.0019705153866313337,0.0012170885734128225,True,0.0018089181945383235
gmm2,512,1,0,0.10293797530123218,0.019841731145665738,False,0.14049200744444476
gmm2,512,1,1,0.0029230035944208988,0.0006870356120206051,True,0.0029663922012888406
gmm2,512,1,2,0.02014989015157747,0.030660100714033366,True,0.002268636333697058
gmm2,512,1,3,0.00320313801813277,0.001487243579592673,True,0.02752119268312076
gmm2,512,1,4,0.003033924936441539,0.0017599092380199514,True,0.0027362431800428653
gmm2,512,1,5,0.006964264361537787,0.001278160565727069,True,0.002992563502683462
funnel2,8,1,0,189.38254668016347,188.97402969779802,True,0.12349386163904502
funnel2,8,1,1,1.871162914950974,2.8358420161392917,False,4.14274275425679
funnel2,8,1,2,11.558376256387493,4.591727494046767,False,9.078032826806899
funnel2,8,1,3,22.440083156225132,935.6792319804848,False,12.332887694653945
funnel2,8,1,4,45.463906876255066,410.45448302414354,False,0.008369634691062205
funnel2,8,1,5,9.547368646238795,18.954101724497917,False,12.207585034445916
funnel2,32,1,0,71.07702628086727,500.11614684523613,False,4.546731410244499
funnel2,32,1,1,108.69548229747113,131.11603019424737,False,0.16328296144843785
funnel2,32,1,2,29.60549592712075,10.865376718890563,False,228.02872652693156
