ctx_family,zoo_family,K,T,rep,contract_ratio,map_1,map_2,sw2_q_true,ess_frac,ess_frac_2n,ess_dbl_pass,logz_err,logz_err_2n,accept
funnel2,gmm2,128,1,0,0.4793405883444894,2.0,0.8,535.1665598820452,0.060784488206925225,0.02004462758514253,False,-0.4689428628012102,-0.4000702737126325,0.25
funnel2,gmm2,128,1,1,0.026989596381047917,2.0,0.8,2.015391268343127,0.13441865347179233,0.09539184633107464,True,-0.1212578947478189,-0.11095951327833653,0.625
funnel2,gmm2,128,1,2,0.015272591390808037,2.0,0.8,834.1743388064074,0.038130908055501345,0.012755161125588482,False,-0.420770341940349,-0.3646677482707368,0.734
funnel2,gmm2,128,1,3,0.04709447142881398,2.0,0.8,0.6906674570447177,0.11600176750411235,0.20767075709298424,False,-0.013875920543453546,-0.058621443743927415,0.75
dwell2,gmm2,128,1,0,0.004768882640345033,2.0,0.8,0.24929536970384694,0.26400397690044414,0.2681617677137781,True,-0.008249762555818885,-0.011622402328974824,0.594
dwell2,gmm2,128,1,1,0.0016293462916294416,2.0,0.8,0.3214022211879799,0.15201543876078397,0.15133361021389857,True,0.020216983017218748,0.01143663641500714,0.18
dwell2,gmm2,128,1,2,0.00048642901202510213,2.0,0.2,0.25051230146703163,0.2623054913458071,0.25701487897832836,True,0.020709080608978914,-0.01201824909835758,0.594
dwell2,gmm2,128,1,3,0.0016734235050765742,2.0,0.8,0.3206186981603102,0.1821485479447772,0.18441534904513207,True,-0.019058057214845103,0.0006661138970618374,0.289
gmm2,funnel2,128,1,0,1.0709691930372322e-12,4.0,2.0,8671.711317133071,0.011895321015335358,0.0062689040854331775,False,0.017968896527083444,-0.0565826743948179,0.914
gmm2,funnel2,128,1,1,0.001385369582173932,4.0,2.0,2834.7751373714823,0.13837826668323325,0.1352640825694744,True,-0.019173356391760876,-0.0019120008535331579,0.945
gmm2,funnel2,128,1,2,2.481530438254397e-10,4.0,2.0,3152.2719896745784,0.011166278250501588,0.036239676870356854,False,-0.19171924319014266,-0.21097144961599312,0.906
gmm2,funnel2,128,1,3,4.5517690530193516e-05,4.0,2.0,2174.375241454952,0.0004796287385518741,0.10107063107680618,False,0.39990432918939334,-0.01978404688928137,0.906
gmm2,gmm2,128,1,0,0.016899002300867626,9.125,0.6268750000000001,0.022161760721786238,0.9999999736781099,0.9999997126084375,True,7.488928090992886e-07,-3.539656715290107e-06,0.961
gmm2,gmm2,128,1,1,0.016612882051680225,8.052777777777777,0.7908333333333334,0.006324232406751042,0.9999983885373779,0.9999982437074597,True,1.1860968415433604e-05,2.791106066268867e-07,0.992
gmm2,gmm2,128,1,2,0.017876574190646657,7.925,0.3939166666666667,0.003471525362296065,0.999999923996252,0.9999998331046701,True,-2.3951622516449333e-06,2.52808078649025e-06,0.977
gmm2,gmm2,128,1,3,0.01662236820255272,4.258333333333334,0.44000000000000006,0.0005462393013923698,0.9999995517310928,0.9999999161810447,True,-2.746665852981778e-06,3.4851269958835474e-07,0.906
funnel2,funnel2,128,1,0,0.003827414929370076,1.4566666666666666,0.975,0.017253931316666395,0.9999999981478975,0.9999999823636384,True,-1.4443122431373467e-07,2.121694802070806e-07,1.0
funnel2,funnel2,128,1,1,0.1905323612753816,2.333333333333333,1.390625,10.038319067897179,0.9930652312071,0.991630599890304,True,-0.000520566133253908,0.0008896622615708338,0.492
funnel2,funnel2,128,1,2,0.5069327695167185,1.125,0.6641666666666667,13.978583625966472,0.721783347961403,0.7118045035964053,True,0.0022292129547150097,-0.0016680589538786705,0.734
funnel2,funnel2,128,1,3,0.09334655793157867,2.4054166666666665,0.8379166666666666,0.2766822257008089,0.999248868671854,0.9993313107504245,True,0.0005143507331819563,-0.00019719052069433474,0.734
