family,kind,d,eps,ess_cf,d2_cf,ess_emp,ess_emp_half,ess_dbl_pass,relsd_analytic,logz_emp,logz_dbl_pass,logz_bias_1e4,logz_sd_1e4,seconds,note
gaussian,shift,2,0.02,0.9992003199146836,0.0008,0.9991995547278978,0.9992014548413114,True,5.661382751329646e-05,3.58929672099606e-05,True,3.639511801313944e-05,0.0003252738126139,0.59,
gaussian,shift,2,0.05,0.9950124791926824,0.0049999999999999,0.9950164349837752,0.9950267572149004,True,0.000142131418155,5.020117590603945e-05,True,2.604623290965336e-05,0.000685907470705,0.57,
gaussian,shift,2,0.1,0.9801986733067553,0.02,0.9801959042988008,0.9801670415594024,True,0.0002885949889983,5.448256739981616e-05,True,0.0001883971877644,0.0014659758478499,0.57,
gaussian,shift,2,0.15,0.9559974818330998,0.045,0.9559226547107984,0.9560457305354004,True,0.0004440916156851,7.780754947006585e-05,True,-0.0003389037673443,0.0019961640877092,0.59,
gaussian,shift,2,0.2,0.9231163463866358,0.08,0.9230852852324356,0.923249835306042,True,0.0006141072905738,0.0001428583896974,True,0.0002976976669744,0.0026249069876011,0.59,
gaussian,shift,2,0.3,0.835270211411272,0.18,0.8354467941560324,0.8363244990152108,True,0.0010268559833997,9.083693493217028e-05,True,-0.0001791446806623,0.0042695982234803,0.59,
gaussian,shift,2,0.5,0.6065306597126334,0.5,0.6068996838679909,0.607266902452488,True,0.0025276582243117,-0.0009244303742743,True,-3.5435076393905974e-05,0.0086805027310028,0.57,
gaussian,shift,2,0.7,0.3753110988513995,0.98,0.3750582275258701,0.3762557811486124,True,0.0070285449972284,-0.0030684653058123,True,-0.000893119182697,0.0120523762565599,0.59,
gaussian,shift,2,1.0,0.1353352832366127,2.0,0.1360471582701785,0.1378049708991482,True,0.0545889914455444,-0.0025637282122588,True,-0.0038451267320057,0.0253779651623094,0.58,
gaussian,scale,2,-0.3,0.816326530612245,0.2029408439966901,0.8169917023351329,0.821207786586258,True,inf,0.0002008706367799,True,0.0013354937182061,0.0045623455650318,0.59,
gaussian,scale,2,-0.2,0.9374999999999998,0.0645385211375714,0.9377607941856426,0.937685699947062,True,0.0008944271909999,-0.0005598404412463,True,3.1131696680120056e-06,0.0027995266923249,0.58,
gaussian,scale,2,-0.1,0.9876543209876544,0.0124225199985572,0.9876050242349548,0.987707745174309,True,0.0002581988897471,0.0001032335519681,True,-0.0001009084526655,0.0011286307141123,0.59,
gaussian,scale,2,-0.05,0.997229916897507,0.0027739268827252,0.9972353527099286,0.997223788264892,True,0.0001118033988749,5.514168229581173e-06,True,3.966730650413197e-05,0.000562633976236,0.61,
gaussian,scale,2,0.05,0.997732426303855,0.002270148534539,0.9977268539821648,0.9977354824638576,True,9.12870929175251e-05,-5.14399835864765e-05,True,-4.072227293583808e-05,0.0004651109432556,0.61,
gaussian,scale,2,0.1,0.9917355371900825,0.0082988028146952,0.9917433643315434,0.9917575074278648,True,0.0001690308509457,4.907583034707841e-05,True,3.404276610837087e-05,0.0008748996584754,0.62,
gaussian,scale,2,0.2,0.9722222222222222,0.0281708769666963,0.9721775498756502,0.9723374253883827,True,0.0002981423969999,-0.0001354285627197,True,-6.237775850999939e-05,0.0017012641212734,0.61,
gaussian,scale,2,0.3,0.9467455621301776,0.0547248996892466,0.946587985795576,0.9468203117039984,True,0.0004045199174779,-0.0002952231371242,True,0.0001614079274113,0.0024849562948468,0.62,
gaussian,scale,2,0.5,0.8888888888888888,0.1177830356563835,0.8888614944620384,0.8886285637687947,True,0.0005773502691896,-0.0001962501593233,True,-0.0005019078022418,0.0036740961206407,0.67,
gmm,weight_distort,2,0.1,0.96,0.0408219945202551,0.9600035600970612,0.9600029755660708,True,0.0004082482904638,-9.12447051639731e-05,True,0.0001364094757341,0.0020405669920085,2.38,semi-cf (well-separated approx)
gmm,weight_distort,2,0.2,0.84,0.1743533871447778,0.8400169936343196,0.8400166191122084,True,0.0008728715609439,-0.0017657904066208,True,-1.9920834509434827e-05,0.0041337093936754,2.3,semi-cf (well-separated approx)
gmm,weight_distort,2,0.3,0.64,0.4462871026284195,0.6400336599121241,0.640024736018135,True,0.0014999999999999,0.0003378104535638,True,-0.0011304910678815,0.007881690777845,2.29,semi-cf (well-separated approx)
gmm,weight_distort,2,0.4,0.3599999999999999,1.0216512475319817,0.3600340478479422,0.3600355858336532,True,0.0026666666666666,0.002079163188867,True,0.0007236211071349,0.0141568557823965,2.3,semi-cf (well-separated approx)
